sample_index,dice_score,iou_score,uncertainty,precision,recall,f1_score,specificity
123,0.99065101146698,0.98146653175354,0.31130797,0.9981264962009506,0.9832866224622325,0.9906509874141285,0.9997681268904108
124,1.0,3.8146963561302982e-06,0.00017765196,0.0,0.0,0.0,0.9999999999961853
125,0.9877743721008301,0.975835382938385,0.31008032,0.9958331874365349,0.9798449612403101,0.9877743817727146,0.9994895310935639
126,0.9906601309776306,0.9814842343330383,0.30885822,0.9941047726630895,0.987239263803681,0.9906601234763337,0.9992851608773289
127,0.9923006892204285,0.9847100377082825,0.30764106,0.9939797663151895,0.9906273298540845,0.9923007165845765,0.9992777067788745
128,0.9948965907096863,0.9898358583450317,0.30639485,0.9983827493261456,0.9914346895074947,0.9948965887724953,0.999807794156089
129,0.9922304749488831,0.9845715761184692,0.30515814,0.9985486738507311,0.9859916881627974,0.9922304544553207,0.9998292291360709
130,0.9911165237426758,0.9823802709579468,0.3036595,0.9967712346358466,0.9855256475368207,0.9911165429306288,0.999624858251841
131,0.9909460544586182,0.9820452332496643,0.30228618,0.9935897435897436,0.9883163791832522,0.9909460458240946,0.999263867372733
132,0.9929213523864746,0.9859327077865601,0.30078873,0.9939637072585483,0.9918811733014068,0.9929213483146068,0.9993161042537494
133,0.9943129420280457,0.9886805415153503,0.29924357,0.9978006143111752,0.9908495255309535,0.9943129215712208,0.9997538074901957
134,0.9870985150337219,0.9745161533355713,0.2973901,0.9981143692757639,0.9763231197771588,0.987098492921297,0.9997920009466088
135,1.0,3.8146963561302982e-06,0.00016375791,0.0,0.0,0.0,0.9999999999961853
136,0.9840773940086365,0.968644380569458,0.29537463,0.9972650908380543,0.9712339713100719,0.9840774153751253,0.9997032175415401
137,0.990261971950531,0.9807018041610718,0.29324347,0.9905959844456789,0.9899282287164439,0.9902619940104321,0.9989996834399113
138,0.9933216571807861,0.9867215752601624,0.2908812,0.9954304662541955,0.9912217121688008,0.9933216310554244,0.9995238295857759
139,0.9938494563102722,0.9877635836601257,0.2884077,0.9982290679955521,0.9895080628699735,0.9938494341479416,0.9998190608797015
140,0.9902083277702332,0.9805960655212402,0.28601024,0.9968540268456376,0.9836506622516556,0.9902083333333334,0.9996848527590103
141,0.9879292845726013,0.9761358499526978,0.2834853,0.9937155316147236,0.9822100147897739,0.9879292757565454,0.9993835935197674
142,0.9882358312606812,0.9767342805862427,0.28107667,0.9898070305353487,0.9866695614415979,0.9882358057711962,0.9990213872838938
143,0.9897617101669312,0.9797197580337524,0.2784908,0.9900475407650953,0.9894760213143872,0.9897616985364337,0.9990652021458657
144,0.9914668798446655,0.983066737651825,0.27584824,0.996053884882297,0.9869219360927599,0.9914668833807395,0.9996373383091643
145,0.9916179776191711,0.9833636283874512,0.27332917,0.9940280542567473,0.9892195706256335,0.9916179832359665,0.9994634791463933
146,1.0,3.8146963561302982e-06,0.00015294172,0.0,0.0,0.0,0.9999999999961853
